SEM_LOG_VERSION=2.0
Time	Motor 1 Temperature(C)	Motor 2 Temperature(C)	Battery(C)	Temperature sensor(C)	Soc(%)
2025-08-13 15:28:05.092 	0	0	0	0	0.000
2025-08-13 15:29:05.170 	0	0	0	0	0.000
2025-08-13 15:30:05.252 	0	0	0	0	0.000
2025-08-13 15:31:05.332 	0	0	0	0	0.000
2025-08-13 15:32:05.411 	0	0	0	0	0.000
2025-08-13 15:33:05.460 	0	0	0	0	0.000
2025-08-14 16:01:06.270 	0	0	0	0	0.000
2025-08-14 16:02:25.508 	0	0	0	0	0.000
2025-08-14 16:03:32.491 	0	0	0	0	0.000
2025-08-14 16:04:53.912 	0	0	0	0	0.000
2025-08-14 16:05:53.959 	0	0	0	0	0.000
